"elevation","soil_type","Contrast","cv","Entropy","std","bio15","bio19","longitude","latitude","response","fold","bio1","bio12"
3769.05932617188,11103,402435.40625,1234.9384765625,29833.947265625,520.984985351562,88.3715972900391,14,101.074278,32.415108,1,3,3.12966990470886,701.199829101562
3769.05932617188,11103,402435.40625,1234.9384765625,29833.947265625,520.984985351562,88.3715972900391,14,101.074409,32.415044,1,3,3.12966990470886,701.199829101562
3784.9130859375,11103,251821.4375,1144.90563964844,29717.62109375,524.964965820312,88.3924560546875,14.0000162124634,101.0654,32.41269,1,3,3.11624765396118,701.400085449219
3765.7109375,11103,308874.8125,1229.97351074219,29652.896484375,582.973999023438,88.2697067260742,14,101.0707,32.41723,1,3,3.04638814926147,702.599792480469
3765.7109375,11103,308874.8125,1229.97351074219,29652.896484375,582.973999023438,88.2697067260742,14,101.0694,32.41714,1,3,3.04638814926147,702.599792480469
3781.81713867188,11103,187128.875,1028.01135253906,28696.91015625,455.010833740234,88.2881698608398,14.0000104904175,101.0663,32.41686,1,3,3.07022023200989,702.600036621094
2324.244140625,11103.0009765625,110715.6015625,455.998626708984,27746.75,256.996063232422,81.5962371826172,11.9999876022339,104.56,34.59,1,2,4.74186944961548,594.800354003906
2208.84594726562,11107,279467.875,714.013488769531,28129.845703125,354.008850097656,83.7133560180664,12.5600824356079,106.198812,35.66775,1,2,3.75794839859009,528.760803222656
2456.078125,11110,134461.3125,585.9609375,27861.671875,314.978515625,82.3055572509766,10.919994354248,104.57,34.53,1,2,4.39750289916992,601.239929199219
4021.6162109375,11909,172487.3125,792.993469238281,28558.884765625,396.998748779297,86.0701675415039,14.1199989318848,102.279871,31.71785,1,3,1.93275392055511,720.920104980469
4023.65600585938,11909,252550.90625,1022.95874023438,29002.69140625,482.984313964844,85.860595703125,14.6399879455566,102.288732,31.717515,1,3,1.61520171165466,724.839904785156
2429.67553710938,11110,113809.7890625,362.054962158203,27158.08984375,212.025894165039,82.0133514404297,11.3199634552002,104.54,34.55,1,2,4.18629169464111,600
2371.44848632812,11110,172311.5,897.894409179688,26429.03515625,465.948486328125,81.5414352416992,12.1999216079712,104.57,34.56,1,2,4.33896350860596,602.999755859375
2208.84594726562,11107,279467.875,714.013488769531,28129.845703125,354.008850097656,83.7133560180664,12.5600824356079,106.192321,35.673368,1,2,3.75794839859009,528.760803222656
3784.9130859375,11103,251821.4375,1144.90563964844,29717.62109375,524.964965820312,88.3924560546875,14.0000162124634,101.065,32.4132,1,3,3.11624765396118,701.400085449219
3820.7421875,11103,59474.23828125,427.062042236328,26400.548828125,217.029815673828,88.1725158691406,14.0000114440918,101.0456,32.43909,1,3,2.86101961135864,706.200012207031
3769.05932617188,11103,402435.40625,1234.9384765625,29833.947265625,520.984985351562,88.3715972900391,14,101.0686,32.41531,1,3,3.12966990470886,701.199829101562
3886.345703125,11724,219180.734375,946.932678222656,29555.78515625,471.966186523438,88.5738067626953,14.6000270843506,101.0762,32.3193,1,3,1.55527198314667,709.92041015625
3820.7421875,11103,59474.23828125,427.062042236328,26400.548828125,217.029815673828,88.1725158691406,14.0000114440918,101.0449,32.43877,1,3,2.86101961135864,706.200012207031
3784.9130859375,11103,251821.4375,1144.90563964844,29717.62109375,524.964965820312,88.3924560546875,14.0000162124634,101.0653,32.41353,1,3,3.11624765396118,701.400085449219
3784.9130859375,11103,251821.4375,1144.90563964844,29717.62109375,524.964965820312,88.3924560546875,14.0000162124634,101.0662,32.41199,1,3,3.11624765396118,701.400085449219
